s.no,timestamp,ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps)
183,2026-03-08_08:42:14.297,-1.014186,-0.057584,-0.004697,0.86625,-1.82875,-0.93625
184,2026-03-08_08:42:14.398,-1.017724,-0.068137,0.003599,1.12,-1.70625,-0.91
185,2026-03-08_08:42:14.501,-1.013637,-0.066185,0.011834,1.26,-1.70625,-0.95375
186,2026-03-08_08:42:14.603,-1.006256,-0.060085,0.002562,1.19875,-1.6975,-0.88375
187,2026-03-08_08:42:14.704,-1.011136,-0.058011,-0.002806,1.28625,-1.6275,-0.8225
188,2026-03-08_08:42:14.807,-1.017053,-0.054778,-0.009699,0.8925,-1.77625,-1.015
189,2026-03-08_08:42:14.908,-1.013088,-0.062281,0.001281,1.07625,-1.645,-0.86625
190,2026-03-08_08:42:15.010,-1.016931,-0.064538,0.006649,1.18125,-1.785,-0.945
191,2026-03-08_08:42:15.112,-1.020103,-0.065575,0.000732,1.0325,-1.81125,-0.81375
192,2026-03-08_08:42:15.214,-1.018578,-0.059963,-0.001464,1.14625,-1.75875,-0.97125
193,2026-03-08_08:42:15.315,-1.01199,-0.063806,-0.003843,1.155,-1.7325,-0.88375
194,2026-03-08_08:42:15.417,-1.013759,-0.060817,-0.009089,1.05875,-1.74125,-0.945
195,2026-03-08_08:42:15.519,-1.018395,-0.058255,-0.000549,0.97125,-1.75,-0.97125
196,2026-03-08_08:42:15.622,-1.018273,-0.061305,0.000427,0.945,-1.67125,-0.945
197,2026-03-08_08:42:15.724,-1.0126,-0.066185,0.004636,1.21625,-1.6275,-0.86625
198,2026-03-08_08:42:15.825,-1.017114,-0.06405,0.006161,1.2425,-1.77625,-0.90125
199,2026-03-08_08:42:15.927,-1.018334,-0.061,-0.004819,0.98875,-1.72375,-0.81375
200,2026-03-08_08:42:16.029,-1.021567,-0.060268,-0.001098,1.12,-1.785,-0.8925
201,2026-03-08_08:42:16.131,-1.014857,-0.060085,0.007808,1.19875,-1.68,-0.875
202,2026-03-08_08:42:16.233,-1.007049,-0.062464,-0.000427,1.23375,-1.74125,-0.88375
203,2026-03-08_08:42:16.335,-1.010892,-0.057157,-0.000488,1.015,-1.67125,-0.9625
204,2026-03-08_08:42:16.436,-1.012417,-0.063196,0.000244,1.30375,-1.63625,-1.015
